"id";"gravity";"acceleration";"rotation";"attitude";"fallenDown";"date";"studentId"
1285;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: 0.00";"rota_x: 0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:49";"studentsSBGCD"
1286;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:49";"student0nTDqQ"
1287;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:50";"studenttfIYT6"
1288;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:50";"studentiB1HCY"
1289;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:51";"studentIwPpun"
1290;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:51";"studentGqP8d5"
1291;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:52";"studentihtXWj"
1292;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: 0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:52";"student3LSFn9"
1293;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:53";"studentG8bFG1"
1294;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: -0.00, rota_y: -0.01, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:53";"studentBGjuTa"
1295;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: 0.00";"rota_x: 0.00, rota_y: 0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:54";"studentPAjJ3R"
1296;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: -0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: -0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:54";"studentEJPvcT"
1297;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: 0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:55";"studenthXWez4"
1298;"grav_x: 0.01, grav_y: 0.04, grav_z: -1.00";"acc_x: -0.00, acc_y: 0.00, acc_z: -0.00";"rota_x: 0.00, rota_y: -0.00, rota_z: 0.00";"atti_roll: 0.0, atti_pitch: -0.0, atti_yaw: -0.0";0;"2020-05-11 18:28:55";"student8RVAyT"
